TAG,COUNTY_ID,COUNTY,TOWN_ID,TOWN,FLD01,FLD02,FLD03,FLD04,FLD05,FLD06,FLD07,FLD08,INFO_TIME
標籤,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,資料時間
,65000,新北市,65000050,新莊區,127557,93444101,733,452,220,896,1038.78,141.8,"110Y"
,65000,新北市,65000170,林口區,39107,42080479,1076,610,277,1326,1656.36,153.93,"110Y"
,65000,新北市,65000150,五股區,26061,16766652,643,411,204,776,3005.6,467.17,"110Y"
,65000,新北市,65000140,蘆洲區,57299,39095636,682,428,212,838,902.22,132.23,"110Y"
,65000,新北市,65000020,三重區,110632,76899861,695,429,210,841,968.64,139.35,"110Y"
,65000,新北市,65000160,泰山區,22881,16211879,709,458,220,906,823.9,116.28,"110Y"
,65000,新北市,65000060,新店區,97738,88199197,902,499,231,1052,1643.63,182.14,"110Y"
,65000,新北市,65000190,石碇區,1693,932913,551,357,187,656,685.41,124.38,"110Y"
,65000,新北市,65000180,深坑區,6947,4865284,700,432,214,837,1229.86,175.61,"110Y"
,65000,新北市,65000200,坪林區,1431,825039,577,386,193,686,775.08,134.43,"110Y"
,65000,新北市,65000290,烏來區,1359,807630,594,408,201,744,696.54,117.21,"110Y"
,65000,新北市,65000010,板橋區,164481,134992783,821,490,233,994,1268.39,154.55,"110Y"
,65000,新北市,65000090,三峽區,30746,21908321,713,440,212,878,964.78,135.4,"110Y"
,65000,新北市,65000080,鶯歌區,24680,14980521,607,404,209,742,774.57,127.61,"110Y"
,65000,新北市,65000070,樹林區,52548,35871170,683,423,210,824,912.71,133.7,"110Y"
,65000,新北市,65000030,中和區,125415,98534732,786,482,227,968,1226.41,156.1,"110Y"
,65000,新北市,65000130,土城區,69116,46426403,672,432,215,835,871.64,129.76,"110Y"
,65000,新北市,65000120,瑞芳區,9402,4738271,504,353,175,628,573.01,113.7,"110Y"
,65000,新北市,65000240,平溪區,846,436684,516,346,179,609,683.06,132.33,"110Y"
,65000,新北市,65000250,雙溪區,1832,980455,535,358,175,673,932.46,174.23,"110Y"
,65000,新北市,65000260,貢寮區,2216,1165553,526,347,181,646,655.13,124.56,"110Y"
,65000,新北市,65000270,金山區,4826,2537529,526,348,175,643,715.78,136.13,"110Y"
,65000,新北市,65000280,萬里區,4538,2329938,513,358,187,631,589.71,114.86,"110Y"
,65000,新北市,65000100,淡水區,59457,46079336,775,475,214,967,1225.44,158.12,"110Y"
,65000,新北市,65000110,汐止區,69481,55130425,793,471,226,958,1792.44,225.9,"110Y"
,65000,新北市,65000210,三芝區,5617,2778109,495,326,160,601,772.83,156.26,"110Y"
,65000,新北市,65000220,石門區,2612,1321098,506,341,164,627,720.07,142.37,"110Y"
,65000,新北市,65000230,八里區,11033,6820981,618,398,200,748,822.09,132.97,"110Y"
,65000,新北市,65000040,永和區,68555,62501347,912,533,241,1102,1919.53,210.55,"110Y"
X,65000,新北市,65000999,其他,55,59893,1089,420,229,951,1932.19,177.43,"110Y"
,63000,臺北市,63000010,松山區,68378,86448315,1264,642,270,1451,4262.39,337.14,"110Y"
,63000,臺北市,63000030,大安區,104151,150957402,1449,705,281,1635,4363.47,301.05,"110Y"
,63000,臺北市,63000050,中正區,51076,65638648,1285,667,275,1500,2844.22,221.32,"110Y"
,63000,臺北市,63000070,萬華區,52482,40419003,770,453,210,924,1212.17,157.39,"110Y"
,63000,臺北市,63000060,大同區,39819,35588471,894,500,224,1057,1410.58,157.83,"110Y"
,63000,臺北市,63000040,中山區,78028,91229978,1169,581,247,1284,3198.16,273.53,"110Y"
,63000,臺北市,63000080,文山區,87217,92591866,1062,590,256,1284,1892.13,178.23,"110Y"
,63000,臺北市,63000090,南港區,38954,39188089,1006,536,244,1153,1853.51,184.24,"110Y"
,63000,臺北市,63000100,內湖區,96543,111784249,1158,614,274,1346,2126.51,183.66,"110Y"
,63000,臺北市,63000110,士林區,88969,93315096,1049,539,238,1170,2553.82,243.49,"110Y"
,63000,臺北市,63000120,北投區,79705,78973507,991,542,238,1167,1693.75,170.94,"110Y"
,63000,臺北市,63000020,信義區,71491,76995737,1077,557,246,1201,2606.13,241.98,"110Y"
X,63000,臺北市,63000999,其他,148,134627,910,511,194,1106,1192.25,131.07,"110Y"
,68000,桃園市,68000010,桃園區,139693,120899529,865,520,247,1052,1336.13,154.38,"110Y"
,68000,桃園市,68000030,大溪區,23758,14981555,631,422,214,781,776.1,123.08,"110Y"
,68000,桃園市,68000020,中壢區,124507,97522904,783,503,250,968,1009.59,128.89,"110Y"
,68000,桃園市,68000040,楊梅區,52294,35996171,688,459,239,838,946.46,137.5,"110Y"
,68000,桃園市,68000050,蘆竹區,51017,43692690,856,529,261,1035,1139.54,133.06,"110Y"
,68000,桃園市,68000060,大園區,25155,17199337,684,446,233,816,962.17,140.72,"110Y"
,68000,桃園市,68000070,龜山區,50514,38069403,754,487,242,941,942.09,125.01,"110Y"
,68000,桃園市,68000080,八德區,58705,39312874,670,448,228,829,820.85,122.58,"110Y"
,68000,桃園市,68000090,龍潭區,34294,24973544,728,463,236,877,1673.64,229.83,"110Y"
,68000,桃園市,68000100,平鎮區,64559,45675059,707,468,239,878,862.77,121.95,"110Y"
,68000,桃園市,68000110,新屋區,13145,7530192,573,403,218,704,647.85,113.09,"110Y"
,68000,桃園市,68000120,觀音區,19544,11215261,574,420,230,715,692.27,120.64,"110Y"
,68000,桃園市,68000130,復興區,1732,876808,506,397,203,652,467.53,92.35,"110Y"
X,68000,桃園市,68000999,其他,18,9855,547,400,227,724,444.42,81.17,"110Y"
,66000,臺中市,66000010,中區,4004,2926408,731,406,179,863,1386.68,189.73,"110Y"
,66000,臺中市,66000020,東區,20683,13552990,655,416,189,828,812.59,124.01,"110Y"
,66000,臺中市,66000040,西區,34476,31708406,920,501,213,1062,2686.2,292.07,"110Y"
,66000,臺中市,66000030,南區,38233,29016748,759,486,219,979,933.79,123.04,"110Y"
,66000,臺中市,66000050,北區,41030,32098950,782,449,197,919,1481.75,189.4,"110Y"
,66000,臺中市,66000060,西屯區,70116,69648462,993,544,242,1163,1648.45,165.95,"110Y"
,66000,臺中市,66000070,南屯區,54334,53392752,983,566,249,1186,1613.55,164.2,"110Y"
,66000,臺中市,66000080,北屯區,84575,68019322,804,491,221,984,1165.69,144.94,"110Y"
,66000,臺中市,66000090,豐原區,45961,29655008,645,400,187,784,925.16,143.39,"110Y"
,66000,臺中市,66000100,東勢區,10622,5855225,551,371,178,680,637.84,115.71,"110Y"
,66000,臺中市,66000110,大甲區,19543,12284879,629,402,205,750,924.8,147.12,"110Y"
,66000,臺中市,66000120,清水區,23470,14432864,615,412,204,773,729.67,118.66,"110Y"
,66000,臺中市,66000130,沙鹿區,25762,18951897,736,476,231,914,934.12,126.98,"110Y"
,66000,臺中市,66000140,梧棲區,16346,10407274,637,439,213,811,735.42,115.51,"110Y"
,66000,臺中市,66000160,神岡區,17500,10105918,577,375,186,696,808.37,139.98,"110Y"
,66000,臺中市,66000150,后里區,13106,7749879,591,404,194,747,665.27,112.51,"110Y"
,66000,臺中市,66000180,大雅區,25933,16973140,654,417,205,794,856.05,130.79,"110Y"
,66000,臺中市,66000170,潭子區,30315,18987203,626,409,198,769,823.09,131.41,"110Y"
,66000,臺中市,66000190,新社區,4171,2262436,542,375,185,671,647.88,119.44,"110Y"
,66000,臺中市,66000200,石岡區,3436,1922066,559,377,189,661,706.97,126.38,"110Y"
,66000,臺中市,66000210,外埔區,7718,4472889,580,406,208,726,653.05,112.68,"110Y"
,66000,臺中市,66000220,大安區,4258,2356768,553,381,194,665,667.58,120.61,"110Y"
,66000,臺中市,66000230,烏日區,21190,14245375,672,439,212,835,909.42,135.28,"110Y"
,66000,臺中市,66000240,大肚區,15014,8683603,578,403,200,722,687.44,118.86,"110Y"
,66000,臺中市,66000250,龍井區,21338,13678498,641,424,206,802,973.38,151.84,"110Y"
,66000,臺中市,66000260,霧峰區,15791,9107572,577,382,184,707,762.96,132.28,"110Y"
,66000,臺中市,66000270,太平區,48382,29112557,602,403,194,752,725.96,120.65,"110Y"
,66000,臺中市,66000280,大里區,56173,35192378,626,409,194,774,999.13,159.48,"110Y"
,66000,臺中市,66000290,和平區,1636,873664,534,383,182,680,566.33,106.05,"110Y"
X,66000,臺中市,66000999,其他,0,22573,752,435,177,1071,906.63,120.49,"110Y"
,67000,臺南市,67000320,東區,53642,49258975,918,528,242,1096,1478.04,160.96,"110Y"
,67000,臺南市,67000330,南區,31666,20299708,641,414,202,770,843.51,131.58,"110Y"
,67000,臺南市,67000340,北區,36120,30690176,850,493,228,1012,1229,144.64,"110Y"
,67000,臺南市,67000350,安南區,48270,32112080,665,437,218,815,794.74,119.46,"110Y"
,67000,臺南市,67000360,安平區,19094,15798445,827,483,225,972,1314.73,158.9,"110Y"
,67000,臺南市,67000370,中西區,21603,19141210,886,485,213,1025,1501.37,169.45,"110Y"
,67000,臺南市,67000010,新營區,21601,15281890,707,478,234,913,815.08,115.21,"110Y"
,67000,臺南市,67000020,鹽水區,5563,3142702,565,412,218,696,616.73,109.17,"110Y"
,67000,臺南市,67000030,白河區,4877,2694517,552,398,187,692,657.91,119.08,"110Y"
,67000,臺南市,67000040,柳營區,4854,2861651,590,424,222,729,667.49,113.22,"110Y"
,67000,臺南市,67000050,後壁區,4724,2736381,579,425,219,741,600.5,103.67,"110Y"
,67000,臺南市,67000060,東山區,3387,1813197,535,382,202,658,632.94,118.23,"110Y"
,67000,臺南市,67000070,麻豆區,11050,7311191,662,440,225,820,796.08,120.32,"110Y"
,67000,臺南市,67000080,下營區,5066,2957234,584,415,220,747,632.82,108.41,"110Y"
,67000,臺南市,67000090,六甲區,5088,2977342,585,422,234,730,633.58,108.27,"110Y"
,67000,臺南市,67000100,官田區,5346,3128162,585,425,230,742,632.67,108.12,"110Y"
,67000,臺南市,67000110,大內區,1680,834436,497,366,189,636,524.58,105.62,"110Y"
,67000,臺南市,67000120,佳里區,14836,9538650,643,439,223,811,769.73,119.72,"110Y"
,67000,臺南市,67000140,西港區,5636,3320056,589,408,217,709,729.02,123.75,"110Y"
,67000,臺南市,67000150,七股區,3622,1924362,531,365,181,652,674.84,127.02,"110Y"
,67000,臺南市,67000160,將軍區,3316,1761347,531,379,199,643,798.29,150.29,"110Y"
,67000,臺南市,67000170,北門區,1692,918897,543,390,193,677,630.18,116.04,"110Y"
,67000,臺南市,67000130,學甲區,5866,3281138,559,396,208,701,642.95,114.95,"110Y"
,67000,臺南市,67000180,新化區,10427,6475219,621,407,207,756,752.86,121.23,"110Y"
,67000,臺南市,67000190,善化區,14489,14500146,1001,593,288,1238,1275.34,127.44,"110Y"
,67000,臺南市,67000200,新市區,10558,7828157,741,476,250,911,889.21,119.93,"110Y"
,67000,臺南市,67000210,安定區,7067,4508389,638,429,224,807,701.58,109.97,"110Y"
,67000,臺南市,67000220,山上區,1602,838291,523,376,202,660,571.67,109.25,"110Y"
,67000,臺南市,67000230,玉井區,2364,1349788,571,389,205,722,655.38,114.78,"110Y"
,67000,臺南市,67000240,楠西區,1343,698107,520,373,206,624,635.7,122.29,"110Y"
,67000,臺南市,67000250,南化區,1327,692971,522,371,201,672,520.15,99.61,"110Y"
,67000,臺南市,67000260,左鎮區,663,316783,478,338,166,597,504.93,105.68,"110Y"
,67000,臺南市,67000270,仁德區,20618,13838662,671,452,231,838,773.85,115.3,"110Y"
,67000,臺南市,67000280,歸仁區,17587,11294491,642,440,230,788,781.38,121.67,"110Y"
,67000,臺南市,67000290,關廟區,7909,4483862,567,394,207,684,710.97,125.41,"110Y"
,67000,臺南市,67000300,龍崎區,613,336576,549,375,203,643,741.75,135.09,"110Y"
,67000,臺南市,67000310,永康區,64234,47793237,744,475,236,908,1415.73,190.27,"110Y"
X,67000,臺南市,67000999,其他,12,17599,1467,796,253,2823,1576.02,107.46,"110Y"
,64000,高雄市,64000010,鹽埕區,6172,4141354,671,408,177,800,990.48,147.61,"110Y"
,64000,高雄市,64000020,鼓山區,40177,37286578,928,536,240,1109,1560.38,168.13,"110Y"
,64000,高雄市,64000030,左營區,56795,47265712,832,527,245,1033,1098.7,132.02,"110Y"
,64000,高雄市,64000040,楠梓區,54449,37861516,695,495,248,898,794.96,114.32,"110Y"
,64000,高雄市,64000050,三民區,94446,70414912,746,478,222,936,1106.28,148.38,"110Y"
,64000,高雄市,64000060,新興區,15109,13150434,870,497,213,1023,1521.76,174.84,"110Y"
,64000,高雄市,64000070,前金區,8519,7534320,884,493,217,1027,1377.3,155.73,"110Y"
,64000,高雄市,64000080,苓雅區,47928,38315916,799,477,216,965,1968.17,246.19,"110Y"
,64000,高雄市,64000090,前鎮區,49487,35472290,717,461,216,892,949.17,132.42,"110Y"
,64000,高雄市,64000100,旗津區,5292,2739420,518,370,184,649,579.86,112.02,"110Y"
,64000,高雄市,64000110,小港區,42363,27751130,655,462,226,860,728.81,111.26,"110Y"
,64000,高雄市,64000120,鳳山區,96582,64932711,672,461,218,864,790.16,117.53,"110Y"
,64000,高雄市,64000180,鳥松區,13354,12500665,936,518,234,1071,1460.24,155.99,"110Y"
,64000,高雄市,64000170,仁武區,26043,17972997,690,475,232,877,842.24,122.04,"110Y"
,64000,高雄市,64000160,大社區,8680,5188222,598,412,208,750,705.04,117.95,"110Y"
,64000,高雄市,64000150,大樹區,8901,4772717,536,392,207,672,577.87,107.77,"110Y"
,64000,高雄市,64000140,大寮區,26584,14765383,555,397,199,708,676.79,121.85,"110Y"
,64000,高雄市,64000130,林園區,16512,9575819,580,428,216,761,623.85,107.57,"110Y"
,64000,高雄市,64000190,岡山區,27001,17007884,630,429,218,778,765.84,121.58,"110Y"
,64000,高雄市,64000260,茄萣區,3370,1808682,537,376,194,686,561.26,104.58,"110Y"
,64000,高雄市,64000270,永安區,3370,1808682,537,376,194,686,561.26,104.58,"110Y"
,64000,高雄市,64000200,橋頭區,11302,7232240,640,434,218,809,766.76,119.82,"110Y"
,64000,高雄市,64000290,梓官區,8495,4637185,546,398,206,692,660.07,120.92,"110Y"
,64000,高雄市,64000220,田寮區,1153,587123,509,357,193,620,552.74,108.55,"110Y"
,64000,高雄市,64000230,阿蓮區,6397,3631389,568,378,200,681,730.91,128.76,"110Y"
,64000,高雄市,64000240,路竹區,13510,8450715,626,424,222,757,816.86,130.59,"110Y"
,64000,高雄市,64000210,燕巢區,6733,3770588,560,396,202,699,649.04,115.9,"110Y"
,64000,高雄市,64000280,彌陀區,4107,2114868,515,374,194,646,554.39,107.66,"110Y"
,64000,高雄市,64000250,湖內區,6765,3729966,551,399,205,698,605.25,109.77,"110Y"
,64000,高雄市,64000300,旗山區,6765,3729966,551,399,205,698,605.25,109.77,"110Y"
,64000,高雄市,64000320,六龜區,1460,723306,495,370,192,603,622.73,125.7,"110Y"
,64000,高雄市,64000350,內門區,1985,955430,481,363,177,601,566.73,117.74,"110Y"
,64000,高雄市,64000310,美濃區,7034,4045623,575,419,213,739,584.54,101.63,"110Y"
,64000,高雄市,64000340,杉林區,1475,706376,479,354,178,602,558.32,116.58,"110Y"
,64000,高雄市,64000330,甲仙區,774,369509,477,351,170,630,497.67,104.24,"110Y"
,64000,高雄市,64000360,茂林區,315,196146,623,477,270,776,873.98,140.36,"110Y"
,64000,高雄市,64000370,桃源區,563,300976,535,443,266,713,423.18,79.16,"110Y"
,64000,高雄市,64000380,那瑪夏區,397,230194,580,487,302,765,461.45,79.58,"110Y"
X,64000,高雄市,64000999,其他,23,23910,1040,440,152,1365,1461.04,140.54,"110Y"
,10002,宜蘭縣,10002010,宜蘭市,25573,17209530,673,450,219,861,792.09,117.7,"110Y"
,10002,宜蘭縣,10002040,頭城鎮,5817,3210685,552,373,182,676,698.81,126.61,"110Y"
,10002,宜蘭縣,10002050,礁溪鄉,8648,5153768,596,405,198,740,729.43,122.4,"110Y"
,10002,宜蘭縣,10002060,壯圍鄉,5664,3233395,571,403,203,707,652.64,114.32,"110Y"
,10002,宜蘭縣,10002070,員山鄉,7661,4475361,584,393,194,700,848.4,145.23,"110Y"
,10002,宜蘭縣,10002020,羅東鎮,18496,12071507,653,440,213,819,758.83,116.27,"110Y"
,10002,宜蘭縣,10002090,五結鄉,11100,6640825,598,414,205,750,665.56,111.25,"110Y"
,10002,宜蘭縣,10002080,冬山鄉,14162,8526791,602,414,208,748,769.92,127.87,"110Y"
,10002,宜蘭縣,10002030,蘇澳鎮,8873,4932754,556,402,209,685,929.34,167.17,"110Y"
,10002,宜蘭縣,10002100,三星鄉,4848,2875235,593,399,192,717,735.37,123.9,"110Y"
,10002,宜蘭縣,10002110,大同鄉,754,379074,503,389,212,644,557.18,110.83,"110Y"
,10002,宜蘭縣,10002120,南澳鄉,974,479083,492,409,227,637,623.63,126.79,"110Y"
X,10002,宜蘭縣,10002999,其他,4,2181,545,604,370,779,363.45,66.66,"110Y"
,10004,新竹縣,10004020,竹東鎮,28844,26787191,929,539,259,1123,1416.44,152.52,"110Y"
,10004,新竹縣,10004040,關西鎮,6915,4329111,626,424,222,773,769.54,122.92,"110Y"
,10004,新竹縣,10004030,新埔鎮,9793,7471501,763,471,242,893,1211.7,158.82,"110Y"
,10004,新竹縣,10004010,竹北市,65050,113598238,1746,962,386,2219,2778.79,159.12,"110Y"
,10004,新竹縣,10004050,湖口鄉,23955,15895022,664,465,249,834,732.24,110.35,"110Y"
,10004,新竹縣,10004080,橫山鄉,3090,1839118,595,412,209,750,670.66,112.68,"110Y"
,10004,新竹縣,10004060,新豐鄉,17122,12623204,737,493,259,915,887.63,120.4,"110Y"
,10004,新竹縣,10004070,芎林鄉,5851,5014422,857,491,248,998,1640.89,191.46,"110Y"
,10004,新竹縣,10004100,寶山鄉,4525,5565562,1230,549,255,1254,2669.07,217.01,"110Y"
,10004,新竹縣,10004090,北埔鄉,2200,1359382,618,417,210,773,712.64,115.33,"110Y"
,10004,新竹縣,10004110,峨眉鄉,1278,810130,634,435,221,762,759.66,119.84,"110Y"
,10004,新竹縣,10004120,尖石鄉,1127,568824,505,387,226,622,538.87,106.77,"110Y"
,10004,新竹縣,10004130,五峰鄉,564,266077,472,376,202,576,522.49,110.75,"110Y"
X,10004,新竹縣,10004999,其他,4,1070,268,271,195,344,184.87,69.1,"110Y"
